customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,tenure_group,avg_monthly_usage,payment_risk,customer_value_segment,total_services
0471-LVHGK,Orangevale,95662,38.689174,-121.218435,Male,No,Yes,No,41,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,73.0,3001.2,Yes,1,86,2041,2-4 Years,73.19999999999999,High Risk,Bronze,6
9518-RWHZL,Penryn,95663,38.859093,-121.182872,Female,No,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.05,6254.2,Yes,1,69,5452,4+ Years,97.721875,Low Risk,Platinum,6
5419-CONWX,Pleasant Grove,95668,38.833554,-121.498102,Female,Yes,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,Yes,1,89,2268,0-1 Year,110.7125,Low Risk,Bronze,6
6240-EURKS,Plymouth,95669,38.489273,-120.891614,Female,No,No,No,18,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.0,553.0,Yes,1,76,2649,1-2 Years,30.72222222222222,High Risk,Bronze,2
6960-HVYXR,Rio Linda,95673,38.688764,-121.457596,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.0,76.0,Yes,1,72,2567,0-1 Year,76.0,High Risk,Bronze,3
7024-OHCCK,Sheridan,95681,38.984756,-121.345074,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85,Yes,1,72,4193,0-1 Year,85.425,High Risk,Silver,5
7861-UVUFT,Sloughhouse,95683,38.470423,-121.114897,Female,No,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.3,1308.4,Yes,1,86,4003,1-2 Years,87.22666666666667,High Risk,Silver,4
5357-TZHPP,Wheatland,95692,39.043387,-121.409837,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Yes,1,83,5745,0-1 Year,81.38888888888889,Low Risk,Platinum,4
0680-DFNNY,Winters,95694,38.578604,-122.024579,Male,No,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.1,1504.05,Yes,1,97,2055,1-2 Years,100.27,High Risk,Bronze,6
7767-UXAGJ,Colfax,95713,39.084645,-120.894014,Male,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.45,50.45,Yes,1,68,2928,0-1 Year,50.45,High Risk,Bronze,3
1571-SAVHK,Meadow Vista,95722,39.003358,-121.022539,Male,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.95,1132.75,Yes,1,80,5598,0-1 Year,94.39583333333333,Medium Risk,Platinum,6
9546-CQJSU,Soda Springs,95728,39.279068,-120.414275,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6,Yes,1,80,5100,0-1 Year,96.8,High Risk,Gold,5
0506-LVNGN,Rancho Cordova,95742,38.591134,-121.161585,Female,Yes,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.55,349.65,Yes,1,97,4028,0-1 Year,69.92999999999999,Low Risk,Silver,3
2951-QOQTK,Sacramento,95815,38.608405,-121.449942,Male,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),80.8,332.45,Yes,1,72,5436,0-1 Year,83.1125,Low Risk,Platinum,4
3473-XIIIT,Sacramento,95824,38.517295,-121.439819,Female,No,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,1534.75,Yes,1,68,3794,1-2 Years,95.921875,High Risk,Silver,6
7893-IXHRQ,Sacramento,95826,38.542532,-121.378826,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.55,20.55,Yes,1,87,5636,0-1 Year,20.55,High Risk,Platinum,1
2952-QAYZF,Sacramento,95828,38.486938,-121.395805,Male,No,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.3,424.15,Yes,1,81,2264,0-1 Year,84.83,High Risk,Bronze,5
4763-PGDPO,Sacramento,95831,38.494832,-121.529447,Female,No,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,281.0,Yes,1,88,4494,0-1 Year,70.25,High Risk,Silver,2
5394-SVGJV,Sacramento,95838,38.646096,-121.442433,Male,No,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,Yes,1,82,3066,2-4 Years,93.9337837837838,Low Risk,Bronze,6
9283-LZQOH,Antelope,95843,38.715498,-121.363411,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,Yes,1,89,3687,1-2 Years,68.98076923076923,Low Risk,Silver,3
7079-QRCBC,Sacramento,95864,38.585826,-121.376263,Female,No,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,2407.3,Yes,1,85,4016,1-2 Years,100.30416666666667,High Risk,Silver,6
5469-CTCWN,Arbuckle,95912,38.982373,-122.047751,Male,No,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,106.0,6547.7,Yes,1,92,4334,4+ Years,107.33934426229509,High Risk,Silver,7
9851-QXEEQ,Bangor,95914,39.396585,-121.38029,Male,No,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,Yes,1,84,3316,2-4 Years,106.00975609756097,High Risk,Bronze,7
9809-IMGCQ,Canyon Dam,95923,40.171312,-121.120605,Male,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,1,93,4458,1-2 Years,94.67954545454545,High Risk,Silver,5
5208-HFSBT,Challenge,95925,39.461768,-121.195825,Female,No,No,No,2,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.05,102.75,Yes,1,81,5855,0-1 Year,51.375,Low Risk,Platinum,4
3254-YRILK,Dobbins,95935,39.381174,-121.21191,Male,Yes,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.2,1775.8,Yes,1,69,5683,1-2 Years,93.46315789473684,High Risk,Platinum,5
2667-WYLWJ,Dunnigan,95937,38.931425,-121.946081,Female,No,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.75,145.0,Yes,1,89,2247,0-1 Year,18.125,Medium Risk,Bronze,1
0529-ONKER,Forest Ranch,95942,40.077028,-121.494168,Male,Yes,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.65,1146.65,Yes,1,96,2099,1-2 Years,76.44333333333334,High Risk,Bronze,3
5240-IJOQT,Grass Valley,95949,39.099204,-121.137962,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,1,88,3348,0-1 Year,74.7,High Risk,Bronze,3
1092-GANHU,Magalia,95954,39.933852,-121.584371,Male,No,No,No,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.65,1313.55,Yes,1,87,3182,1-2 Years,77.26764705882353,High Risk,Bronze,3
0661-XEYAN,Nevada City,95959,39.333737,-120.858667,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.8,25.8,Yes,1,97,3884,0-1 Year,25.8,Medium Risk,Silver,1
7881-EVUAD,Oroville,95966,39.473896,-121.415927,Female,No,No,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.6,72.4,Yes,1,79,4648,0-1 Year,36.2,High Risk,Gold,4
5766-XQXMQ,Princeton,95970,39.424957,-122.039307,Female,No,No,No,29,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.85,1970.5,Yes,1,79,5449,2-4 Years,67.94827586206897,Low Risk,Platinum,6
3703-VAVCL,Strawberry Valley,95981,39.58458,-121.093256,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),90.0,190.05,Yes,1,99,3902,0-1 Year,95.025,Low Risk,Silver,5
8519-QJGJD,Twain,95984,40.022184,-121.062384,Female,No,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.35,1025.95,Yes,1,71,4995,1-2 Years,73.28214285714286,High Risk,Gold,3
6326-MTTXK,Yuba City,95993,39.075694,-121.70606,Male,No,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.85,819.55,Yes,1,97,3849,0-1 Year,102.44375,High Risk,Silver,6
0330-IVZHA,Anderson,96007,40.448632,-122.306657,Female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.95,330.15,Yes,1,81,2969,0-1 Year,66.03,High Risk,Bronze,2
2886-KEFUM,Big Bend,96011,41.096569,-121.879082,Female,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.5,6873.75,Yes,1,96,6144,4+ Years,109.10714285714286,High Risk,Platinum,7
4237-RLAQD,Callahan,96014,41.388397,-122.794636,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,Yes,1,94,5930,0-1 Year,45.85,Medium Risk,Platinum,2
9651-GTSAQ,Corning,96021,39.913777,-122.289984,Female,No,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,5769.75,Yes,1,94,4471,4+ Years,108.86320754716981,Low Risk,Silver,7
3186-BAXNB,Cottonwood,96022,40.336392,-122.448533,Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,91.7,91.7,Yes,1,71,4319,0-1 Year,91.7,High Risk,Silver,5
0637-YLETY,Douglas City,96024,40.586588,-122.903677,Female,No,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.6,1555.65,Yes,1,96,5915,1-2 Years,97.228125,Low Risk,Platinum,6
1157-BQCUW,Fall River Mills,96028,41.017282,-121.468945,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,74.95,Yes,1,82,2591,0-1 Year,74.95,High Risk,Bronze,3
2660-EMUBI,Fort Jones,96032,41.5837,-122.935922,Male,Yes,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,Yes,1,75,5353,0-1 Year,89.83500000000001,High Risk,Gold,5
7675-OZCZG,Hayfork,96041,40.547857,-123.187265,Female,Yes,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.0,127.1,Yes,1,77,4145,0-1 Year,42.36666666666667,High Risk,Silver,2
2003-CKLOR,Igo,96047,40.524535,-122.647172,Male,No,No,No,66,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.5,6710.5,Yes,1,73,4001,4+ Years,101.67424242424242,High Risk,Silver,6
9254-RBFON,Klamath River,96050,41.816595,-122.948287,Female,No,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,Yes,1,91,5160,1-2 Years,100.29117647058824,Low Risk,Gold,6
1205-WNWPJ,Lakehead,96051,40.883853,-122.418258,Female,No,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.5,415.95,Yes,1,91,4661,0-1 Year,59.42142857142857,Medium Risk,Gold,4
9391-EOYLI,Lewiston,96052,40.704293,-122.803899,Male,Yes,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.45,950.2,Yes,1,69,5374,0-1 Year,79.18333333333334,High Risk,Gold,3
8387-MOJJT,Nubieber,96068,41.082472,-121.195215,Female,No,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.95,3384.0,Yes,1,82,5396,2-4 Years,80.57142857142857,Low Risk,Platinum,3
2761-OCIAX,Palo Cedro,96073,40.582399,-122.195512,Male,Yes,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,165.4,Yes,1,81,2803,0-1 Year,82.7,High Risk,Bronze,3
3068-OMWZA,Round Mountain,96084,40.923558,-122.059933,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,88.8,Yes,1,91,3106,0-1 Year,88.8,High Risk,Bronze,5
6032-KRXXO,Seiad Valley,96086,41.924174,-123.260788,Male,No,No,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.25,2755.35,Yes,1,84,5654,2-4 Years,91.845,High Risk,Platinum,4
7459-RRWQZ,Shasta,96087,40.617614,-122.512861,Female,No,No,No,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.65,994.55,Yes,1,89,4780,1-2 Years,66.30333333333333,Low Risk,Gold,5
4154-AQUGT,Vina,96092,39.955164,-122.018567,Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.05,1169.35,Yes,1,82,3861,1-2 Years,89.94999999999999,Low Risk,Silver,5
3092-IGHWF,Alturas,96101,41.468877,-120.54229,Male,No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,87.4,5918.8,Yes,1,65,4421,4+ Years,88.34029850746269,High Risk,Silver,5
8017-LXHFA,Davis Creek,96108,41.750354,-120.403885,Female,Yes,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,2293.6,Yes,1,95,2740,1-2 Years,99.72173913043478,High Risk,Bronze,5
6352-TWCAU,Fort Bidwell,96112,41.932207,-120.135941,Female,No,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.45,3029.1,Yes,1,68,5874,2-4 Years,86.54571428571428,High Risk,Platinum,4
2929-QNSRW,Lake City,96115,41.729079,-120.225025,Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.25,5508.35,Yes,1,97,4886,4+ Years,98.36339285714287,High Risk,Gold,6
1262-OPMFY,Likely,96116,41.266008,-120.490731,Female,No,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,655.9,Yes,1,96,5105,0-1 Year,72.87777777777778,Low Risk,Gold,3
4248-QPAVC,Portola,96122,39.786755,-120.445626,Female,Yes,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.35,1463.45,Yes,1,70,3209,1-2 Years,86.08529411764707,Low Risk,Bronze,5
1899-VXWXM,Ravendale,96123,40.845738,-120.322219,Male,No,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),106.1,5082.8,Yes,1,69,5898,2-4 Years,105.89166666666667,Low Risk,Platinum,7
4690-LLKUA,Topaz,96133,38.636052,-119.489162,Male,Yes,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,Yes,1,65,3797,1-2 Years,45.32941176470588,High Risk,Silver,2
3331-HQDTW,Homewood,96141,39.117018,-120.212535,Female,No,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,Yes,1,78,3410,2-4 Years,105.50735294117646,Medium Risk,Bronze,8
9490-DFPMD,Tahoma,96142,39.061227,-120.179546,Female,Yes,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.65,3541.35,Yes,1,76,4871,2-4 Years,84.31785714285714,High Risk,Gold,4
5442-XSDCW,Tahoe City,96145,39.178337,-120.162806,Male,No,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.5,868.5,Yes,1,68,3469,0-1 Year,78.95454545454545,Low Risk,Bronze,3
3049-NDXFL,South Lake Tahoe,96150,38.911577,-120.106169,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,85.8,85.8,Yes,1,99,2850,0-1 Year,85.8,Medium Risk,Bronze,4
8580-AECUZ,Truckee,96161,39.342498,-120.247127,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1,Yes,1,84,5001,0-1 Year,79.1,High Risk,Gold,3
7963-GQRMY,Los Angeles,90004,34.076259,-118.310715,Female,No,Yes,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.3,134.5,Yes,1,88,4903,0-1 Year,44.833333333333336,Medium Risk,Gold,2
1228-FZFRV,Los Angeles,90007,34.027337,-118.28515,Male,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),105.95,5341.8,Yes,1,79,5536,4+ Years,106.836,Low Risk,Platinum,7
2058-DCJBE,Los Angeles,90012,34.065875,-118.238728,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,324.6,Yes,1,99,3965,0-1 Year,64.92,High Risk,Silver,2
5364-XYIRR,Los Angeles,90013,34.044639,-118.240413,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,4812.75,Yes,1,100,4747,4+ Years,94.36764705882354,High Risk,Gold,5
4829-AUOAX,Los Angeles,90014,34.043144,-118.251977,Female,No,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.05,4399.5,Yes,1,77,2712,2-4 Years,95.6413043478261,Low Risk,Bronze,5
5047-LHVLY,Los Angeles,90020,34.066367,-118.309868,Male,Yes,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.15,50.15,Yes,1,98,3438,0-1 Year,50.15,Medium Risk,Bronze,3
9158-VCTQB,Los Angeles,90023,34.017697,-118.200577,Female,No,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.6,4594.95,Yes,1,96,4963,2-4 Years,112.07195121951219,Low Risk,Gold,9
6311-UEUME,Los Angeles,90025,34.046174,-118.446333,Female,No,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.9,2384.15,Yes,1,90,3249,2-4 Years,82.21206896551725,High Risk,Bronze,3
6839-ITVZJ,Los Angeles,90037,34.002642,-118.287596,Female,No,Yes,No,26,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.05,1616.15,Yes,1,71,2039,2-4 Years,62.159615384615385,High Risk,Bronze,5
0375-HVGXO,Los Angeles,90045,33.954017,-118.402447,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,34.7,34.7,Yes,1,81,4476,0-1 Year,34.7,High Risk,Silver,2
8593-WHYHV,Los Angeles,90047,33.958149,-118.308441,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,Yes,1,67,4934,0-1 Year,88.26666666666667,High Risk,Gold,4
6097-EQISJ,Los Angeles,90058,34.001617,-118.222274,Female,No,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),102.45,6615.15,Yes,1,82,4688,4+ Years,100.22954545454544,Low Risk,Gold,7
4423-YLHDV,Los Angeles,90059,33.927254,-118.249826,Female,No,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25,Yes,1,67,5570,1-2 Years,104.77380952380952,Low Risk,Platinum,7
0107-YHINA,Los Angeles,90062,34.003553,-118.308933,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,1,93,4214,0-1 Year,99.75,High Risk,Silver,6
8640-SDGKB,Los Angeles,90066,34.002028,-118.430656,Male,No,No,No,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.4,299.7,Yes,1,69,3633,0-1 Year,74.925,High Risk,Silver,6
4116-TZAQJ,Culver City,90230,33.993991,-118.39704,Female,No,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,639.65,Yes,1,76,5393,0-1 Year,71.07222222222222,Low Risk,Platinum,3
3877-JRJIP,Hawthorne,90250,33.914775,-118.348083,Male,No,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.85,59.85,Yes,1,71,4017,0-1 Year,59.85,High Risk,Silver,4
8375-DKEBR,Hermosa Beach,90254,33.86532,-118.396336,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,1,96,3438,0-1 Year,69.6,High Risk,Bronze,2
7511-YMXVQ,Lynwood,90262,33.923573,-118.200669,Male,No,No,No,9,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.4,418.8,Yes,1,81,5028,0-1 Year,46.53333333333333,High Risk,Gold,3
7551-JOHTI,Malibu,90265,34.074572,-118.831181,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,19.5,Yes,1,77,5211,0-1 Year,19.5,Medium Risk,Gold,1
9804-ICWBG,Pacific Palisades,90272,34.079449,-118.548306,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,1,88,3349,0-1 Year,69.9,High Risk,Bronze,2
5318-IXUZF,Redondo Beach,90277,33.830453,-118.384565,Female,No,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.15,183.75,Yes,1,72,4149,0-1 Year,91.875,Low Risk,Silver,4
3198-VELRD,Marina Del Rey,90292,33.977468,-118.445475,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,Yes,1,100,2014,0-1 Year,88.28333333333335,Low Risk,Bronze,4
9436-ZBZCT,Inglewood,90303,33.936291,-118.332639,Male,No,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.95,1178.4,Yes,1,97,5463,1-2 Years,84.17142857142858,High Risk,Platinum,5
7279-BUYWN,Buena Park,90620,33.845706,-118.012204,Female,Yes,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,Yes,1,89,3380,2-4 Years,114.3780487804878,High Risk,Bronze,8
7156-MHUGY,Buena Park,90621,33.874224,-117.993368,Male,Yes,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.5,1201.15,Yes,1,76,5394,1-2 Years,92.39615384615385,High Risk,Platinum,4
7198-GLXTC,La Palma,90623,33.850504,-118.039892,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,Yes,1,92,5239,0-1 Year,71.825,High Risk,Gold,3
0516-VRYBW,Stanton,90680,33.801869,-117.995068,Female,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.15,390.85,Yes,1,85,4931,1-2 Years,21.71388888888889,Low Risk,Gold,1
8380-PEFPE,Avalon,90704,33.391181,-118.421305,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,71.65,Yes,1,93,2377,0-1 Year,71.65,High Risk,Bronze,2
5687-DKDTV,Bellflower,90706,33.887676,-118.127289,Female,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,77.5,Yes,1,76,5984,0-1 Year,19.375,Medium Risk,Platinum,1
7530-HDYDS,Lakewood,90712,33.840524,-118.148403,Female,No,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.25,3264.5,Yes,1,70,2885,2-4 Years,85.90789473684211,Low Risk,Bronze,5
3096-IZETN,Lomita,90717,33.794209,-118.317354,Female,No,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.1,947.3,Yes,1,89,4741,0-1 Year,78.94166666666666,Low Risk,Gold,3
5922-ABDVO,Seal Beach,90740,33.75462,-118.071128,Female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,1761.05,Yes,1,74,3046,1-2 Years,92.68684210526315,Medium Risk,Bronze,5
9172-ANCRX,Carson,90745,33.822295,-118.26411,Female,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,Yes,1,68,5561,0-1 Year,97.325,High Risk,Platinum,6
6910-HADCM,Long Beach,90808,33.823943,-118.111335,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,Yes,1,67,5613,0-1 Year,76.35,High Risk,Platinum,3
